ds,yhat
2023-01-01,4961.237638439914
2023-01-02,3820.4084387139656
2023-01-03,3845.67744826521
2023-01-04,4947.895580260775
2023-01-05,4982.549766119079
2023-01-06,3858.7077672448636
2023-01-07,4961.997938079318
2023-01-08,4958.105245150125
2023-01-09,3817.2760459273914
2023-01-10,3842.545055985016
2023-01-11,4944.763187376562
2023-01-12,4979.417372640691
2023-01-13,3855.5753726658504
2023-01-14,4958.865542400922
2023-01-15,4954.972848467871
2023-01-16,3814.1436482479066
2023-01-17,3839.412657298464
2023-01-18,4941.630788789024
2023-01-19,4976.284974150122
2023-01-20,3852.4429763348453
2023-01-21,4955.733148228275
2023-01-22,4951.8404563548
2023-01-23,3811.0112581926637
2023-01-24,3836.2802737044835
2023-01-25,4938.498411655541
2023-01-26,4973.152603473643
2023-01-27,3849.3106100581012
2023-01-28,4952.701906798407
2023-01-29,4948.910339777444
2023-01-30,3808.182266465668
2023-01-31,3833.55240242913
2023-02-01,4935.871660826942
2023-02-02,4970.998262013905
2023-02-03,3847.6286779658067
2023-02-04,4951.391263621933
2023-02-05,4947.970985515512
2023-02-06,3807.750424828682
2023-02-07,3833.6280734132342
2023-02-08,4936.454844441675
2023-02-09,4971.717669335329
2023-02-10,3848.484308996523
2023-02-11,4952.408927162553
2023-02-12,4949.150681566275
2023-02-13,3808.9559296753173
2023-02-14,3834.8593870644527
2023-02-15,4937.711975067181
2023-02-16,4973.000616938786
2023-02-17,3849.7930735796617
2023-02-18,4953.717699925607
2023-02-19,4950.4594621568995
2023-02-20,3810.2647180965164
2023-02-21,3836.1681833168745
2023-02-22,4939.020770972705
2023-02-23,4974.309412498224
2023-02-24,3851.101869085791
2023-02-25,4955.026495381963
2023-02-26,4951.768257912685
2023-02-27,3811.5735141504147
2023-02-28,3837.4769793038377
2023-03-01,4940.329566901053
2023-03-02,4975.61820836073
2023-03-03,3852.4106645874513
2023-03-04,4956.3352905228685
2023-03-05,4953.077052277189
2023-03-06,3812.8823077460065
2023-03-07,3838.7857724842133
2023-03-08,4941.638359669294
2023-03-09,4976.92695095353
2023-03-10,3853.7193570045883
2023-03-11,4957.643932760473
2023-03-12,4954.3856447528615
2023-03-13,3814.1630868437533
2023-03-14,3840.038738205941
2023-03-15,4942.86351201302
2023-03-16,4978.124339680706
2023-03-17,3854.888982118881
2023-03-18,4958.645197130086
2023-03-19,4955.218548375996
2023-03-20,3814.855393331855
2023-03-21,3840.590447565669
2023-03-22,4943.229785405011
2023-03-23,4978.305177110636
2023-03-24,3854.884383586127
2023-03-25,4958.595759766153
2023-03-26,4955.124272178131
2023-03-27,3814.6625150096443
2023-03-28,3840.298967109454
2023-03-29,4942.884541650476
2023-03-30,4977.906170060337
2023-03-31,3854.3475828274645
2023-04-01,4957.921165303668
2023-04-02,4954.3118840135385
2023-04-03,3813.7660964352735
2023-04-04,3839.3185104636414
2023-04-05,4941.820046932783
2023-04-06,4976.75763726872
2023-04-07,3853.199042370354
2023-04-08,4956.772617180636
2023-04-09,4953.163326428762
2023-04-10,3812.617529390243
2023-04-11,3838.1699416266097
2023-04-12,4940.671476299583
2023-04-13,4975.6090647999945
2023-04-14,3852.0504680668528
2023-04-15,4955.624041043423
2023-04-16,4952.014750249132
2023-04-17,3811.468953170335
2023-04-18,3837.0213458830876
2023-04-19,4939.522861042313
2023-04-20,4974.460430063228
2023-04-21,3850.9018138532006
2023-04-22,4954.475285863784
2023-04-23,4950.865894106338
2023-04-24,3810.319996056221
2023-04-25,3835.872307284411
2023-04-26,4938.373740951594
2023-04-27,4973.311228486632
2023-04-28,3849.7525307891297
2023-04-29,4953.326002796776
2023-04-30,4949.716611042002
2023-05-01,3809.1707129924107
2023-05-02,3834.7230242202595
2023-05-03,4937.224457887963
2023-05-04,4972.161945426269
2023-05-05,3848.603247725237
2023-05-06,4952.176719733409
2023-05-07,4948.567327976589
2023-05-08,3808.021429927303
2023-05-09,3833.5737411561086
2023-05-10,4936.0751748253
2023-05-11,4971.0126623616
2023-05-12,3847.453964661166
2023-05-13,4951.027436670043
2023-05-14,4947.418044912254
2023-05-15,3806.8721468666818
2023-05-16,3832.424458094472
2023-05-17,4934.925891760699
2023-05-18,4969.863379296445
2023-05-19,3846.304681597184
2023-05-20,4949.878153602387
2023-05-21,4946.268761846841
2023-05-22,3805.722863801574
2023-05-23,3831.2751750303205
2023-05-24,4933.776608698036
2023-05-25,4968.714096231776
2023-05-26,3845.155398533226
2023-05-27,4948.728870539021
2023-05-28,4945.119478783585
2023-05-29,3804.5735807377623
2023-05-30,3830.125891964181
2023-05-31,4932.627325631173
2023-06-01,4967.564813166619
2023-06-02,3844.006115469245
2023-06-03,4947.579587475653
2023-06-04,4943.9701957181705
2023-06-05,3803.424297672656
2023-06-06,3828.9766089000295
2023-06-07,4931.478042567542
2023-06-08,4966.415530102439
2023-06-09,3842.8568324052626
2023-06-10,4946.4303044129365
2023-06-11,4942.820912657045
2023-06-12,3802.2750146088442
2023-06-13,3827.8273258371364
2023-06-14,4930.328759503911
2023-06-15,4965.2662470372825
2023-06-16,3841.707549341306
2023-06-17,4945.281021350218
2023-06-18,4941.67162959271
